PART_ID,STRT_NUM,STRT_DSC,COMP_STRT,POST_CD,CITY_NAME,CNTR_NAME,STRT_VALD_DTTM,END_VALD_DTTM,EXEC_ID
6274,17,NomVoie4529885,NULL,#0407,Ville10,Pays1,2004-11-14 22:26:48,2004-11-14 22:26:48,12345
842,13,NomVoie233412,NULL,#8734,Ville22,Pays2,2015-03-01 10:59:01,2015-03-01 10:59:01,12345
4746,12,NomVoie5822570,NULL,#2498,Ville18,Pays2,2007-08-08 01:19:46,2007-08-08 01:19:46,12345
7836,0,NomVoie4136994,NULL,#4282,Ville15,Pays2,2022-10-07 17:44:53,2022-10-07 17:44:53,12345
699,14,NomVoie942672,NULL,#3299,Ville10,Pays1,2015-02-12 11:56:01,2015-02-12 11:56:01,12345
6891,18,NomVoie5632723,NULL,#6189,Ville4,Pays2,2004-06-02 14:06:14,2004-06-02 14:06:14,12345
3163,42,NomVoie7114854,NULL,#5268,Ville2,Pays1,2000-03-26 01:25:46,2000-03-26 01:25:46,12345
10189,49,NomVoie9448190,NULL,#8038,Ville7,Pays1,2010-03-15 01:35:02,2010-03-15 01:35:02,12345
7730,33,NomVoie3536508,NULL,#7973,Ville1,Pays2,2003-07-25 16:39:46,2003-07-25 16:39:46,12345
7616,50,NomVoie2835899,NULL,#4132,Ville19,Pays1,1998-04-13 23:39:47,1998-04-13 23:39:47,12345
5491,14,NomVoie3726017,NULL,#3057,Ville18,Pays3,2002-01-18 17:15:13,2002-01-18 17:15:13,12345
5692,25,NomVoie3826972,NULL,#7439,Ville1,Pays1,1999-10-22 19:34:07,1999-10-22 19:34:07,12345
6952,90,NomVoie6832982,NULL,#1558,Ville11,Pays1,2004-04-03 05:45:04,2004-04-03 05:45:04,12345
3886,64,NomVoie4018343,NULL,#9609,Ville9,Pays1,2009-05-19 23:58:35,2009-05-19 23:58:35,12345
2508,5,NomVoie6611690,NULL,#9436,Ville21,Pays1,2001-02-12 05:52:46,2001-02-12 05:52:46,12345
8473,61,NomVoie7239945,NULL,#4203,Ville6,Pays2,1999-01-01 11:21:07,1999-01-01 11:21:07,12345
1485,76,NomVoie706564,NULL,#3681,Ville16,Pays2,2009-10-24 09:05:57,2009-10-24 09:05:57,12345
658,31,NomVoie242502,NULL,#8523,Ville9,Pays1,2017-04-07 04:38:12,2017-04-07 04:38:12,12345
1190,23,NomVoie975124,NULL,#5000,Ville7,Pays3,2000-04-23 18:37:18,2000-04-23 18:37:18,12345
3265,30,NomVoie8615397,NULL,#1931,Ville7,Pays2,2023-05-21 18:55:23,2023-05-21 18:55:23,12345
1100,95,NomVoie444685,NULL,#3313,Ville1,Pays1,2012-09-16 14:54:01,2012-09-16 14:54:01,12345
5429,74,NomVoie1925709,NULL,#5036,Ville11,Pays1,2022-04-09 08:41:11,2022-04-09 08:41:11,12345
623,57,NomVoie212350,NULL,#6369,Ville3,Pays2,2021-10-08 20:28:23,2021-10-08 20:28:23,12345
2338,1,NomVoie2910872,NULL,#6682,Ville18,Pays1,2023-03-02 08:55:05,2023-03-02 08:55:05,12345
5388,62,NomVoie8325540,NULL,#7623,Ville25,Pays1,2012-02-03 06:42:13,2012-02-03 06:42:13,12345
6883,29,NomVoie8732668,NULL,#9598,Ville23,Pays5,2019-02-25 06:04:37,2019-02-25 06:04:37,12345
4212,37,NomVoie4020023,NULL,#1644,Ville10,Pays2,1998-11-06 10:06:24,1998-11-06 10:06:24,12345
1870,70,NomVoie678629,NULL,#2813,Ville23,Pays2,2017-10-01 07:34:57,2017-10-01 07:34:57,12345
4802,33,NomVoie1822814,NULL,#1025,Ville5,Pays2,2001-10-04 01:01:34,2001-10-04 01:01:34,12345
9186,12,NomVoie4043434,NULL,#4035,Ville1,Pays2,2007-05-06 23:41:16,2007-05-06 23:41:16,12345
7217,73,NomVoie934040,NULL,#0474,Ville18,Pays1,2012-05-05 19:44:58,2012-05-05 19:44:58,12345
1192,9,NomVoie575133,NULL,#4450,Ville1,Pays2,2002-11-25 21:15:42,2002-11-25 21:15:42,12345
9720,95,NomVoie6445921,NULL,#2637,Ville7,Pays2,2002-09-06 01:36:47,2002-09-06 01:36:47,12345
417,35,NomVoie331354,NULL,#1359,Ville1,Pays1,2012-04-19 05:02:33,2012-04-19 05:02:33,12345
4272,55,NomVoie9820313,NULL,#8034,Ville16,Pays3,1997-02-04 15:38:50,1997-02-04 15:38:50,12345
4069,33,NomVoie3719297,NULL,#6620,Ville5,Pays2,2016-05-15 07:36:05,2016-05-15 07:36:05,12345
2389,62,NomVoie1511081,NULL,#8393,Ville3,Pays2,2002-02-17 20:40:22,2002-02-17 20:40:22,12345
1550,34,NomVoie106905,NULL,#5969,Ville25,Pays4,2012-04-25 15:11:44,2012-04-25 15:11:44,12345
2382,66,NomVoie911042,NULL,#0657,Ville7,Pays1,2021-07-24 14:05:40,2021-07-24 14:05:40,12345
8094,19,NomVoie7438198,NULL,#9990,Ville23,Pays1,2012-02-15 15:59:04,2012-02-15 15:59:04,12345
9540,17,NomVoie6345045,NULL,#8970,Ville11,Pays2,2012-04-16 21:32:30,2012-04-16 21:32:30,12345
4323,74,NomVoie3320554,NULL,#4016,Ville1,Pays2,2000-10-12 16:15:05,2000-10-12 16:15:05,12345
5155,43,NomVoie624455,NULL,#1261,Ville14,Pays4,2006-10-04 15:04:33,2006-10-04 15:04:33,12345
5966,10,NomVoie2628277,NULL,#8135,Ville10,Pays2,2017-06-07 05:28:32,2017-06-07 05:28:32,12345
7670,28,NomVoie6636217,NULL,#3936,Ville23,Pays2,2017-02-24 23:36:45,2017-02-24 23:36:45,12345
9085,60,NomVoie7543004,NULL,#9844,Ville13,Pays2,1998-07-08 10:04:12,1998-07-08 10:04:12,12345
8844,63,NomVoie6041849,NULL,#6073,Ville24,Pays2,1999-11-10 06:56:47,1999-11-10 06:56:47,12345
8905,14,NomVoie5842134,NULL,#4463,Ville2,Pays1,2013-01-11 12:10:31,2013-01-11 12:10:31,12345
1898,65,NomVoie998759,NULL,#1562,Ville10,Pays2,2009-04-17 05:22:47,2009-04-17 05:22:47,12345
4860,67,NomVoie5723095,NULL,#6935,Ville16,Pays2,2007-04-19 23:30:57,2007-04-19 23:30:57,12345
151,43,NomVoie71181,NULL,#6994,Ville18,Pays1,1999-02-04 13:41:31,1999-02-04 13:41:31,12345
156,25,NomVoie30200,NULL,#4641,Ville10,Pays4,2007-03-25 02:41:08,2007-03-25 02:41:08,12345
6264,97,NomVoie1329835,NULL,#9293,Ville16,Pays2,2017-04-18 10:33:28,2017-04-18 10:33:28,12345
2221,29,NomVoie3110363,NULL,#4146,Ville19,Pays4,1997-11-01 01:36:46,1997-11-01 01:36:46,12345
8252,9,NomVoie4438969,NULL,#2268,Ville21,Pays2,1998-08-08 22:12:43,1998-08-08 22:12:43,12345
2765,83,NomVoie112951,NULL,#0502,Ville12,Pays2,2007-08-19 10:30:40,2007-08-19 10:30:40,12345
4809,67,NomVoie7322851,NULL,#4623,Ville6,Pays1,2017-09-09 12:18:17,2017-09-09 12:18:17,12345
6614,95,NomVoie531459,NULL,#3505,Ville2,Pays4,2013-07-04 03:56:42,2013-07-04 03:56:42,12345
2823,61,NomVoie8113249,NULL,#3788,Ville12,Pays4,1997-10-22 12:37:14,1997-10-22 12:37:14,12345
8769,81,NomVoie141500,NULL,#4241,Ville17,Pays4,1998-02-15 01:28:50,1998-02-15 01:28:50,12345
6071,9,NomVoie028801,NULL,#2598,Ville4,Pays2,2018-08-20 12:36:56,2018-08-20 12:36:56,12345
485,37,NomVoie221677,NULL,#4228,Ville4,Pays3,2005-08-10 19:44:39,2005-08-10 19:44:39,12345
5476,5,NomVoie8325959,NULL,#8250,Ville18,Pays2,1999-11-10 10:22:54,1999-11-10 10:22:54,12345
10322,52,NomVoie6548785,NULL,#7924,Ville23,Pays3,2021-06-01 19:41:40,2021-06-01 19:41:40,12345
3498,84,NomVoie4516554,NULL,#4996,Ville9,Pays1,2018-02-14 22:23:31,2018-02-14 22:23:31,12345
653,26,NomVoie82484,NULL,#2563,Ville19,Pays2,2011-09-23 09:04:54,2011-09-23 09:04:54,12345
2484,17,NomVoie8211595,NULL,#7372,Ville14,Pays5,2004-10-21 16:39:42,2004-10-21 16:39:42,12345
4717,88,NomVoie8222422,NULL,#0444,Ville10,Pays2,2002-02-23 03:28:35,2002-02-23 03:28:35,12345
7283,34,NomVoie9334325,NULL,#8117,Ville19,Pays3,1999-05-21 22:22:49,1999-05-21 22:22:49,12345
1403,45,NomVoie536170,NULL,#7642,Ville14,Pays3,2008-11-06 09:49:15,2008-11-06 09:49:15,12345
5497,70,NomVoie6326062,NULL,#3405,Ville21,Pays2,2011-06-02 23:39:42,2011-06-02 23:39:42,12345
9097,1,NomVoie6843053,NULL,#5270,Ville11,Pays1,2003-11-12 09:51:44,2003-11-12 09:51:44,12345
2177,55,NomVoie4110150,NULL,#2691,Ville24,Pays2,2000-03-26 16:09:21,2000-03-26 16:09:21,12345
4442,91,NomVoie621146,NULL,#5038,Ville2,Pays2,1998-02-21 04:50:10,1998-02-21 04:50:10,12345
4838,63,NomVoie5122983,NULL,#6258,Ville21,Pays3,2004-10-05 02:37:38,2004-10-05 02:37:38,12345
7804,42,NomVoie2636834,NULL,#4907,Ville15,Pays3,2002-01-18 13:34:05,2002-01-18 13:34:05,12345
4134,51,NomVoie019622,NULL,#5978,Ville11,Pays2,1997-11-27 16:29:11,1997-11-27 16:29:11,12345
9292,63,NomVoie8843898,NULL,#8831,Ville17,Pays3,2018-09-22 03:20:04,2018-09-22 03:20:04,12345
10230,92,NomVoie3748378,NULL,#5800,Ville1,Pays1,2011-10-03 18:15:53,2011-10-03 18:15:53,12345
10555,18,NomVoie549750,NULL,#4180,Ville5,Pays1,2007-10-06 04:18:15,2007-10-06 04:18:15,12345
8216,79,NomVoie5038797,NULL,#1612,Ville10,Pays1,2008-03-24 13:34:42,2008-03-24 13:34:42,12345
3354,42,NomVoie4215871,NULL,#0901,Ville12,Pays1,2001-07-27 14:30:15,2001-07-27 14:30:15,12345
6082,86,NomVoie5128853,NULL,#7730,Ville22,Pays4,2003-10-24 16:54:50,2003-10-24 16:54:50,12345
7825,50,NomVoie6836908,NULL,#2757,Ville13,Pays2,2000-06-25 14:13:12,2000-06-25 14:13:12,12345
7300,74,NomVoie7434384,NULL,#6267,Ville4,Pays3,2013-11-13 22:58:18,2013-11-13 22:58:18,12345
4296,26,NomVoie8720407,NULL,#5964,Ville13,Pays1,2020-10-27 16:29:19,2020-10-27 16:29:19,12345
6219,49,NomVoie7829580,NULL,#1146,Ville20,Pays1,2002-07-20 13:32:51,2002-07-20 13:32:51,12345
5247,97,NomVoie7324828,NULL,#7478,Ville24,Pays3,2007-07-27 10:40:16,2007-07-27 10:40:16,12345
6009,97,NomVoie6328462,NULL,#3693,Ville15,Pays2,2023-08-12 20:20:25,2023-08-12 20:20:25,12345
9744,48,NomVoie846022,NULL,#6525,Ville13,Pays3,2020-04-15 19:28:21,2020-04-15 19:28:21,12345
4331,48,NomVoie4420601,NULL,#3947,Ville24,Pays2,1997-10-24 14:56:01,1997-10-24 14:56:01,12345
1384,68,NomVoie746078,NULL,#1281,Ville23,Pays2,2006-08-05 20:26:44,2006-08-05 20:26:44,12345
3847,52,NomVoie518149,NULL,#8794,Ville22,Pays3,2005-06-16 17:56:17,2005-06-16 17:56:17,12345
1666,90,NomVoie977514,NULL,#6686,Ville15,Pays1,2014-02-13 13:33:23,2014-02-13 13:33:23,12345
4040,44,NomVoie4219139,NULL,#8828,Ville2,Pays2,2000-07-13 16:54:29,2000-07-13 16:54:29,12345
7082,91,NomVoie3633448,NULL,#4504,Ville13,Pays3,2004-04-27 02:45:39,2004-04-27 02:45:39,12345
7267,1,NomVoie3134254,NULL,#4578,Ville2,Pays4,2015-03-18 09:23:02,2015-03-18 09:23:02,12345
6080,4,NomVoie7028839,NULL,#8049,Ville2,Pays3,2004-04-26 10:47:59,2004-04-26 10:47:59,12345
3777,56,NomVoie8617808,NULL,#2558,Ville2,Pays2,2011-10-16 20:03:33,2011-10-16 20:03:33,12345
1611,84,NomVoie907206,NULL,#2824,Ville20,Pays1,2000-06-17 11:22:44,2000-06-17 11:22:44,12345
7070,8,NomVoie8133418,NULL,#0732,Ville23,Pays2,2019-02-13 06:31:48,2019-02-13 06:31:48,12345
8132,99,NomVoie1538421,NULL,#5516,Ville11,Pays1,1997-09-27 07:49:27,1997-09-27 07:49:27,12345
5094,57,NomVoie424208,NULL,#7497,Ville12,Pays3,2016-06-07 12:26:19,2016-06-07 12:26:19,12345
2655,96,NomVoie2612443,NULL,#8073,Ville19,Pays2,2005-04-19 22:13:54,2005-04-19 22:13:54,12345
7524,76,NomVoie7535452,NULL,#5817,Ville19,Pays2,2015-05-04 17:10:38,2015-05-04 17:10:38,12345
771,94,NomVoie223072,NULL,#2783,Ville20,Pays1,2017-10-11 14:07:09,2017-10-11 14:07:09,12345
9433,4,NomVoie3044571,NULL,#1299,Ville5,Pays2,1999-08-10 07:09:27,1999-08-10 07:09:27,12345
571,58,NomVoie682102,NULL,#3246,Ville16,Pays1,2020-06-17 20:14:05,2020-06-17 20:14:05,12345
1092,2,NomVoie354641,NULL,#9551,Ville15,Pays2,2005-05-20 13:16:26,2005-05-20 13:16:26,12345
6250,13,NomVoie2729748,NULL,#0431,Ville15,Pays2,2004-10-16 02:43:31,2004-10-16 02:43:31,12345
2404,83,NomVoie2211200,NULL,#6769,Ville22,Pays3,2017-11-08 01:18:15,2017-11-08 01:18:15,12345
7476,85,NomVoie8635249,NULL,#4419,Ville4,Pays2,2023-08-22 16:28:03,2023-08-22 16:28:03,12345
1908,82,NomVoie828793,NULL,#2064,Ville25,Pays2,2017-09-14 21:18:55,2017-09-14 21:18:55,12345
1864,23,NomVoie468603,NULL,#8211,Ville5,Pays1,2014-03-04 06:13:42,2014-03-04 06:13:42,12345
4708,46,NomVoie3322378,NULL,#8980,Ville4,Pays3,1997-01-07 15:26:59,1997-01-07 15:26:59,12345
9844,53,NomVoie246491,NULL,#7246,Ville7,Pays2,2001-07-10 01:41:13,2001-07-10 01:41:13,12345
7886,83,NomVoie7437243,NULL,#9801,Ville15,Pays2,2015-06-08 18:58:38,2015-06-08 18:58:38,12345
1692,75,NomVoie477637,NULL,#4876,Ville3,Pays2,2006-03-16 22:30:04,2006-03-16 22:30:04,12345
3866,63,NomVoie8118242,NULL,#1750,Ville13,Pays2,2010-04-15 20:29:54,2010-04-15 20:29:54,12345
1615,40,NomVoie637223,NULL,#7889,Ville11,Pays1,1998-03-19 06:27:35,1998-03-19 06:27:35,12345
2934,96,NomVoie3113757,NULL,#2724,Ville4,Pays4,2011-02-22 14:52:55,2011-02-22 14:52:55,12345
5385,35,NomVoie025530,NULL,#8013,Ville11,Pays4,2017-02-03 14:05:57,2017-02-03 14:05:57,12345
5827,49,NomVoie4027575,NULL,#5698,Ville9,Pays1,2013-11-20 06:08:25,2013-11-20 06:08:25,12345
1372,83,NomVoie836026,NULL,#3376,Ville7,Pays1,1998-04-15 05:28:23,1998-04-15 05:28:23,12345
2078,77,NomVoie529584,NULL,#6907,Ville8,Pays3,2000-02-09 07:54:14,2000-02-09 07:54:14,12345
5089,4,NomVoie4524181,NULL,#2905,Ville25,Pays2,2012-10-21 01:53:36,2012-10-21 01:53:36,12345
7373,53,NomVoie9634680,NULL,#3727,Ville16,Pays1,1999-06-11 23:55:29,1999-06-11 23:55:29,12345
4474,17,NomVoie1321316,NULL,#0072,Ville3,Pays2,1999-09-20 11:30:05,1999-09-20 11:30:05,12345
3239,4,NomVoie7815293,NULL,#0511,Ville6,Pays1,2002-01-06 05:34:53,2002-01-06 05:34:53,12345
8046,71,NomVoie9437981,NULL,#6367,Ville13,Pays2,2003-03-08 19:07:02,2003-03-08 19:07:02,12345
9112,33,NomVoie9243130,NULL,#4146,Ville23,Pays2,2010-09-13 02:29:20,2010-09-13 02:29:20,12345
5906,18,NomVoie9327949,NULL,#8582,Ville19,Pays1,2021-06-17 18:29:58,2021-06-17 18:29:58,12345
2864,67,NomVoie013415,NULL,#7764,Ville24,Pays2,2015-02-08 12:31:01,2015-02-08 12:31:01,12345
5681,71,NomVoie6626921,NULL,#5934,Ville16,Pays1,2021-03-23 03:33:27,2021-03-23 03:33:27,12345
2720,25,NomVoie9312784,NULL,#4503,Ville25,Pays1,2017-10-02 19:29:14,2017-10-02 19:29:14,12345
3981,60,NomVoie5418802,NULL,#6468,Ville5,Pays3,1998-03-03 09:53:34,1998-03-03 09:53:34,12345
9238,43,NomVoie243636,NULL,#6623,Ville9,Pays1,2022-07-26 13:57:35,2022-07-26 13:57:35,12345
7295,30,NomVoie6634366,NULL,#5046,Ville2,Pays4,1998-08-22 13:32:09,1998-08-22 13:32:09,12345
10197,40,NomVoie5348239,NULL,#2390,Ville10,Pays2,2011-09-22 21:38:41,2011-09-22 21:38:41,12345
1730,77,NomVoie577862,NULL,#1100,Ville16,Pays2,2011-02-18 11:52:39,2011-02-18 11:52:39,12345
7231,29,NomVoie6334093,NULL,#4908,Ville1,Pays3,2001-06-20 04:27:18,2001-06-20 04:27:18,12345
6675,40,NomVoie6231716,NULL,#3434,Ville9,Pays1,1998-02-17 01:08:23,1998-02-17 01:08:23,12345
2909,93,NomVoie9313649,NULL,#8509,Ville21,Pays1,2019-02-20 12:16:05,2019-02-20 12:16:05,12345
5132,19,NomVoie4724367,NULL,#4470,Ville1,Pays1,2019-09-18 15:09:14,2019-09-18 15:09:14,12345
7264,29,NomVoie5434244,NULL,#5692,Ville19,Pays2,2018-10-12 01:22:04,2018-10-12 01:22:04,12345
6946,95,NomVoie5932956,NULL,#6699,Ville3,Pays1,2013-11-26 19:43:25,2013-11-26 19:43:25,12345
3493,6,NomVoie9116530,NULL,#4360,Ville21,Pays2,2004-08-09 06:07:41,2004-08-09 06:07:41,12345
10467,80,NomVoie7349315,NULL,#3726,Ville18,Pays1,2012-07-05 11:49:10,2012-07-05 11:49:10,12345
5901,92,NomVoie2927918,NULL,#0967,Ville11,Pays1,2018-08-07 01:26:49,2018-08-07 01:26:49,12345
919,23,NomVoie993745,NULL,#0848,Ville21,Pays1,2009-10-22 18:14:09,2009-10-22 18:14:09,12345
9806,28,NomVoie4146339,NULL,#2041,Ville16,Pays2,2015-01-13 21:40:39,2015-01-13 21:40:39,12345
6240,78,NomVoie529678,NULL,#5859,Ville4,Pays3,2002-03-26 13:58:39,2002-03-26 13:58:39,12345
9040,76,NomVoie3242775,NULL,#8677,Ville23,Pays1,2012-02-24 17:04:33,2012-02-24 17:04:33,12345
9593,24,NomVoie5445269,NULL,#2434,Ville13,Pays1,2012-11-07 13:43:42,2012-11-07 13:43:42,12345
2537,9,NomVoie1911853,NULL,#3366,Ville1,Pays2,2019-03-13 16:16:50,2019-03-13 16:16:50,12345
8286,61,NomVoie3739130,NULL,#9627,Ville13,Pays1,2004-06-20 11:24:54,2004-06-20 11:24:54,12345
5991,45,NomVoie7528375,NULL,#0767,Ville13,Pays1,2014-04-02 02:18:56,2014-04-02 02:18:56,12345
3602,9,NomVoie3616978,NULL,#3540,Ville21,Pays2,2013-10-14 16:53:37,2013-10-14 16:53:37,12345
4150,28,NomVoie6419685,NULL,#7308,Ville19,Pays1,2010-01-17 11:57:47,2010-01-17 11:57:47,12345
4255,59,NomVoie7220226,NULL,#0659,Ville14,Pays1,2014-06-09 09:56:07,2014-06-09 09:56:07,12345
9325,84,NomVoie9244107,NULL,#8401,Ville1,Pays1,2017-08-26 14:57:30,2017-08-26 14:57:30,12345
2044,20,NomVoie269449,NULL,#3701,Ville4,Pays4,2001-11-22 13:34:59,2001-11-22 13:34:59,12345
4239,73,NomVoie7520146,NULL,#5589,Ville21,Pays1,2007-11-20 20:09:08,2007-11-20 20:09:08,12345
9038,66,NomVoie4242764,NULL,#2565,Ville20,Pays2,2000-02-17 11:09:08,2000-02-17 11:09:08,12345
10012,56,NomVoie7447389,NULL,#8372,Ville10,Pays3,2004-11-18 12:41:36,2004-11-18 12:41:36,12345
10018,84,NomVoie1447424,NULL,#4002,Ville21,Pays2,2004-05-15 11:29:18,2004-05-15 11:29:18,12345
5907,60,NomVoie427951,NULL,#2983,Ville3,Pays1,2015-10-14 12:33:56,2015-10-14 12:33:56,12345
7437,71,NomVoie935032,NULL,#4619,Ville4,Pays2,1997-10-04 06:37:14,1997-10-04 06:37:14,12345
7718,24,NomVoie8936444,NULL,#3528,Ville14,Pays3,1998-09-23 15:10:38,1998-09-23 15:10:38,12345
448,92,NomVoie201497,NULL,#3218,Ville19,Pays2,2011-02-03 01:30:25,2011-02-03 01:30:25,12345
875,78,NomVoie63550,NULL,#5531,Ville21,Pays1,2010-06-12 10:41:16,2010-06-12 10:41:16,12345
8751,33,NomVoie5941405,NULL,#4518,Ville14,Pays2,2022-09-10 05:50:09,2022-09-10 05:50:09,12345
